replication,SCRAM
1,V010600006S76060509410011
1,V010230081M73060385230013
1,V014940861M31060200540012
1,V017240140M56060756830012
1,V011540140M56060630910011
1,V016740861M10060398720012
1,V019530081M95060321680012
1,V014210005S30150089570012
1,V012330081M73060446320011
1,V010440140M56060702640011
1,V016440140M56060433110013
1,V012740861M18060995680011
1,V014630081M73060893800011
1,V011040861M18060748290013
1,V014630081M73060488370013
1,V016640140M56060053130013
1,V017200006S37060622810011
1,V014500002S02020723700011
1,V017600008S10080024400011
1,V012440861M57060477470012
1,V018200002S09020665830011
1,V019940861M31060354530012
1,V015500006S91060873300013
1,V014340140M56060775640012
1,V014240861M10060403130012
1,V013030081M73060710130013
1,V019440861M18060022790012
1,V014340140M17060457490012
1,V016940140M56060935930012
1,V015900006S59060174430011
1,V014830005S54350319870011
1,V012930081M73060619140013
1,V017740861M10060754320013
1,V014440861M14060014060012
1,V017740662M33530460900011
1,V017840140M56060508700012
1,V015940861M31060120630013
1,V010630081M73060934410013
1,V011730081M95060013690011
1,V013540140M17060660180013
1,V019640140M17060212590011
1,V018030081M73060145010012
1,V010840861M10060829110013
1,V013340140M56060085520012
1,V014330081M73060619210011
1,V014440861M57060266770011
1,V011600006S93060275700013
1,V019940861M18060824590011
1,V019840140M17060768880011
1,V014840140M56060442000011
1,V018430007S18370651530012
1,V017700006S59060301430012
1,V019800006S37060419320011
1,V010030081M73060580700112
1,V016830081M73060762240013
1,V019240140M56060867900013
1,V013510008S71181342660013
1,V017800006S38060073720011
1,V010840861M31060156450013
1,V015630081M73060434910013
1,V016230081M73060453070011
1,V018730081M73060098760013
1,V013740861M18060986680011
1,V010230081M73060011720012
1,V014540140M17060851160013
1,V013630081M73060221050011
1,V011530081M73060093520011
1,V016140861M57060799570011
1,V016230081M73060373070012
1,V013540861M18060816780013
1,V010530000S37300766560013
1,V010840140M17060233560011
1,V017400006S58060290820013
1,V015940140M17060282180013
1,V018230081M95060064190012
1,V019400006S91060028200013
1,V015650005S96550589330011
1,V019540861M31060158050011
1,V017710005S30150014520013
1,V010730005S31350847640012
1,V015140861M57060254080011
1,V013840861M14060926750012
1,V011940861M14060774750013
1,V015200005S51051187850012
1,V013330081M73060781930011
1,V017430005S10350173730013
1,V017140140M56060703200013
1,V011200006S78060889230013
1,V013830007S12370445600011
1,V016240140M56060613110013
1,V014040140M56060974730013
1,V012110002S51120106500013
1,V018540907M70511626420012
1,V019840140M56060916130012
1,V010630000S18300483860012
1,V014340140M56060350220013
1,V017300006S71060343100012
1,V013200006S35060551900012
1,V019510002S59120523640012
1,V010430081M73060074350011
1,V017540140M56060588630013
1,V017110986M98170760960011
1,V017540861M31060561630013
1,V019340861M57060069960013
1,V019840861M18060026390012
1,V015330081M73060983900012
1,V016230081M73060671230011
1,V015840861M10060410610013
1,V015340861M57060165970011
1,V012740008S16480449110011
1,V018120001S33211051960013
1,V019230081M73060353350011
1,V013340140M56060812900012
1,V012030081M73060860950011
1,V013400006S38060237720013
1,V015730081M73060333020012
1,V012430081M73060450030013
1,V013950000S70500331410013
1,V012440861M10060352020013
1,V014140140M56060880120011
1,V016730081M95060897690013
1,V013740861M10060690330013
1,V018940861M57060143560011
1,V015830987M54420576520011
1,V015940140M17060271280012
1,V016540861M10060594100011
