method,state,mse,rmse,bias,squared_bias,coverage,theta_hat_mean,theta_true,n_state_sample_mean,state_abbr,error_mean
NSB,11,0.003992040814558977,0.06318259898547207,0.059003194923043865,0.0034813770111267093,0.9,0.3862296020258376,0.32722640710279377,115,DC,0.059003194923043845
NSB,12,0.0013767333137829634,0.03710435707276119,-0.01485910662701329,2.207930497529503e-4,0.6,0.39646695172482965,0.41132605835184294,263,FL,-0.014859106627013285
NSB,13,0.003199147392388458,0.056561005935082675,0.025971731229557503,6.745308230603725e-4,0.6,0.43008422844068767,0.4041124972111302,176,GA,0.025971731229557482
NSB,16,0.002375453016559911,0.04873861935426475,0.04413179357648159,0.0019476152042771815,0.9,0.3189959756682784,0.2748641820917968,148,ID,0.044131793576481615
NSB,17,0.0037854858831431488,0.06152630236852487,0.012363142954753098,1.5284730371966116e-4,0.3,0.38740153844544273,0.3750383954906896,155,IL,0.012363142954753104
NSB,18,0.0016754715256381955,0.04093252405652741,-0.014157763560673543,2.004422690399356e-4,0.9,0.3569686575728307,0.37112642113350425,115,IN,-0.014157763560673553
NSB,19,0.001764238502669517,0.04200283922152783,0.03457743556218128,0.0011955990500567984,0.9,0.32113963563614445,0.28656220007396316,114,IA,0.03457743556218129
NSB,20,0.0021775251516582494,0.04666395987974284,0.028736968885574383,8.258133807304702e-4,0.8,0.31729351730022376,0.2885565484146494,103,KS,0.028736968885574365
NSB,21,0.001478344081092394,0.03844924031879426,-0.00856019180064455,7.327688366382219e-5,1,0.37375291622129675,0.3823131080219413,113,KY,-0.008560191800644545
NSB,22,0.0015893645138176874,0.03986683476045832,-0.029258690816614797,8.56070988302259e-4,0.9,0.4038472213977398,0.4331059122143546,86,LA,-0.029258690816614807
NSB,23,0.0013198455947363741,0.036329679254521005,-0.020892573113470436,4.3649961130170774e-4,1,0.3143057722589067,0.33519834537237714,114,ME,-0.020892573113470425
NSB,24,0.0021471110202872516,0.0463369293359762,-0.003613024673269788,1.3053947289656258e-5,0.8,0.3945039986224911,0.3981170232957609,162,MD,-0.0036130246732697935
